Variable,Description,Raw/Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Month number,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,Stock symbol,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company_name,Company name,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock_exchange,Stock exchange,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,Industry,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC_Code,Industry code,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV_Y1,FY 2015 book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV_Y2,FY 2016 book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV_Y3,FY 2017 book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV_Y4,FY 2018 book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV_Y5,FY 2019 book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV_Y1,FY 2015 market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV_Y2,FY 2016 market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV_Y3,FY 2017 market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV_Y4,FY 2018 market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV_Y5,FY 2019 market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BookValue_Quarterly,Quarterly book value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarketValue_Quarterly,Quarterly market value,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Company capitalization,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum,Last 1 year price change,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
